Département,Année 2024 (€),Année 2022 (€),Année 2019 (€)
Hauts-de-Seine,131094,117059,115684
Paris,140287,122918,113813
Rhône,60495,53426,49536
Yvelines,46092,41804,42141
Haute-Garonne,48047,43460,43141
Savoie,46387,40443,36942
Marne,46635,43152,35316
Val-de-Marne,47039,42192,40128
Loiret,39661,35747,32929
Côte-d'Or,43178,39178,35670
Bouches-du-Rhône,54025,51257,36885
Ille-et-Vilaine,41809,38424,35825
Alpes-Maritimes,39643,37350,36611
Gironde,43513,38538,35793
Seine-Saint-Denis,46328,41374,41063
Loire-Atlantique,44277,39986,37438
Haute-Savoie,36674,33074,31393
Bas-Rhin,42127,38554,35469
Essonne,50384,44815,42471
Seine-Maritime,40560,37307,32252
Isère,41862,37223,33978
Puy-de-Dôme,38794,35335,34057
Hautes-Alpes,32620,30694,26897
Val-d'Oise,35755,32923,31309
Doubs,33992,31959,29544
Drôme,35875,35698,32755
Pyrénées-Atlantiques,36577,33125,31933
Deux-Sèvres,36298,33592,30536
Indre-et-Loire,37660,33097,31118
Sarthe,32219,29496,27021
Finistère,33934,30770,28761
Aube,33444,31509,27273
Territoire de Belfort,31548,29217,26905
Haut-Rhin,34608,31656,29828
Corse-du-Sud,36233,33825,32089
Charente,41923,37231,31280
Calvados,36573,32792,29908
Mayenne,39580,35931,29960
Haute-Vienne,33949,31354,29109
Nord,38989,35570,31714
Meurthe-et-Moselle,32022,29003,27561
Vendée,36054,32628,29321
Seine-et-Marne,36019,32420,31095
Vaucluse,35831,33408,32739
Vienne,34012,30448,29480
Hérault,37294,33296,30289
Var,30789,28306,26038
Ain,29759,27443,26440
Corrèze,30958,28535,26447
Landes,30546,28172,26306
Maine-et-Loire,35816,32518,28676
Hautes-Pyrénées,29808,27283,25799
Oise,31515,29984,27124
Moselle,29638,27585,25892
Loir-et-Cher,34268,30422,26862
Jura,31790,29865,26483
Somme,34251,32474,28229
Morbihan,33975,30796,27128
Cher,32561,29039,27216
Yonne,31316,29330,25859
Aveyron,31405,28984,26362
Loire,33210,30521,28729
Saône-et-Loire,33534,30886,27152
Vosges,31851,29484,25407
Eure-et-Loir,32537,29557,27006
Manche,35667,31430,26639
Allier,28953,28080,25066
Haute-Marne,31905,30730,26238
Côtes-d'Armor,31994,29002,26951
Alpes-de-Haute-Provence,30235,28571,25817
Lot,30119,27546,25777
Eure,29709,27645,25129
Charente-Maritime,32901,29238,26533
Lozère,31364,29673,24975
Orne,29964,27732,24633
Lot-et-Garonne,32611,30266,26325
Tarn-et-Garonne,29004,26252,23271
Indre,28766,26508,25154
Aude,28309,25765,22897
Gard,31298,27982,25060
Pyrénées-Orientales,29991,27406,24256
Ardennes,28642,27137,23810
Meuse,27423,26096,22746
Tarn,29088,26815,23988
Aisne,28018,26629,23410
Gers,29278,27037,23009
Ariège,25086,23686,22416
Nièvre,28986,27596,24647
Cantal,28614,27225,24439
Ardèche,26579,24449,22719
Haute-Loire,28205,26434,23486
Haute-Saône,25819,24630,21333
Dordogne,28023,26303,23445
Pas-de-Calais,29037,27405,24367
Haute-Corse,29126,27188,24872
Creuse,24983,22974,20783
